Anton Paar Monowave Series
Serial Number: 82701239
Instrument Software Version: 4.10.10607.14

Processing Protocol;
Experiment Name;5W-8min
Experiment Date;1/18/2023 12:33:55 PM
Experiment Unique ID;1134
User;Administrator
Vial Type;Glass vial G30
;
Steps
Step;Program;Temperature;Time;Power;Cooling;Stirrer Speed
;;°C;hh:mm:ss;W;;rpm
1;Constant power;60;00:04:00;5;Off;700
2;Hold;-;00:04:00;850;Off;700
3;Cool down;60;-;-;On;700
;
Experiment Result
Result;OK
;
;
Time;Step Time;Temp IR [degC];Temp Ruby;Pressure;Power [W];Stirrer Speed;Fan Level;Step No.
00:00:23;00:00:23;45;38;0.0;5;700;Off;1
00:00:24;00:00:24;44;38;0.0;5;700;Off;1
00:00:25;00:00:25;45;38;0.0;5;700;Off;1
00:00:26;00:00:26;45;38;0.0;5;700;Off;1
00:00:27;00:00:27;44;38;0.0;5;700;Off;1
00:00:28;00:00:28;44;38;0.0;5;700;Off;1
00:00:29;00:00:29;45;38;0.0;5;700;Off;1
00:00:30;00:00:30;45;38;0.0;5;700;Off;1
00:00:31;00:00:31;45;38;0.0;5;700;Off;1
00:00:32;00:00:32;45;38;0.0;5;700;Off;1
00:00:33;00:00:33;45;38;0.0;5;700;Off;1
00:00:34;00:00:34;45;38;0.0;5;700;Off;1
00:00:35;00:00:35;45;38;0.0;5;700;Off;1
00:00:36;00:00:36;45;38;0.0;5;700;Off;1
00:00:37;00:00:37;45;38;0.0;5;700;Off;1
00:00:38;00:00:38;45;38;0.0;5;700;Off;1
00:00:39;00:00:39;45;38;0.0;5;700;Off;1
00:00:40;00:00:40;45;38;0.0;5;700;Off;1
00:00:41;00:00:41;45;38;0.0;5;700;Off;1
00:00:42;00:00:42;46;38;0.0;5;700;Off;1
00:00:43;00:00:43;45;38;0.0;5;700;Off;1
00:00:44;00:00:44;45;38;0.0;5;700;Off;1
00:00:45;00:00:45;45;38;0.0;5;700;Off;1
00:00:46;00:00:46;46;38;0.0;5;700;Off;1
00:00:47;00:00:47;46;38;0.0;5;700;Off;1
00:00:48;00:00:48;46;38;0.0;5;700;Off;1
00:00:49;00:00:49;46;38;0.0;5;700;Off;1
00:00:50;00:00:50;46;38;0.0;5;700;Off;1
00:00:51;00:00:51;46;38;0.0;5;700;Off;1
00:00:52;00:00:52;46;38;0.0;5;700;Off;1
00:00:53;00:00:53;46;38;0.0;5;700;Off;1
00:00:54;00:00:54;46;38;0.0;5;700;Off;1
00:00:55;00:00:55;46;38;0.0;5;700;Off;1
00:00:56;00:00:56;47;38;0.0;5;700;Off;1
00:00:57;00:00:57;47;38;0.0;5;700;Off;1
00:00:58;00:00:58;46;38;0.0;5;700;Off;1
00:00:59;00:00:59;47;38;0.0;5;700;Off;1
00:01:00;00:01:00;47;38;0.0;5;700;Off;1
00:01:01;00:01:01;47;38;0.0;5;700;Off;1
00:01:02;00:01:02;47;38;0.0;5;700;Off;1
00:01:03;00:01:03;47;38;0.0;5;700;Off;1
00:01:04;00:01:04;47;38;0.0;5;700;Off;1
00:01:05;00:01:05;47;38;0.0;5;700;Off;1
00:01:06;00:01:06;47;38;0.0;5;700;Off;1
00:01:07;00:01:07;47;38;0.0;5;700;Off;1
00:01:08;00:01:08;47;38;0.0;5;700;Off;1
00:01:09;00:01:09;48;38;0.0;5;700;Off;1
00:01:10;00:01:10;47;38;0.0;5;700;Off;1
00:01:11;00:01:11;47;38;0.0;5;700;Off;1
00:01:12;00:01:12;47;38;0.0;5;700;Off;1
00:01:13;00:01:13;47;38;0.0;5;700;Off;1
00:01:14;00:01:14;48;38;0.0;5;700;Off;1
00:01:15;00:01:15;48;38;0.0;5;700;Off;1
00:01:16;00:01:16;48;38;0.0;5;700;Off;1
00:01:17;00:01:17;48;38;0.0;5;700;Off;1
00:01:18;00:01:18;48;38;0.0;5;700;Off;1
00:01:19;00:01:19;48;38;0.0;5;700;Off;1
00:01:20;00:01:20;48;38;0.0;5;700;Off;1
00:01:21;00:01:21;48;38;0.0;5;700;Off;1
00:01:22;00:01:22;49;38;0.0;5;700;Off;1
00:01:23;00:01:23;48;38;0.0;5;700;Off;1
00:01:24;00:01:24;49;38;0.0;5;700;Off;1
00:01:25;00:01:25;48;38;0.0;5;700;Off;1
00:01:26;00:01:26;49;38;0.0;5;700;Off;1
00:01:27;00:01:27;49;38;0.0;5;700;Off;1
00:01:28;00:01:28;49;38;0.0;5;700;Off;1
00:01:29;00:01:29;48;38;0.0;5;700;Off;1
00:01:30;00:01:30;49;38;0.0;5;700;Off;1
00:01:31;00:01:31;49;38;0.0;5;700;Off;1
00:01:32;00:01:32;49;38;0.0;5;700;Off;1
00:01:33;00:01:33;49;38;0.0;5;700;Off;1
00:01:34;00:01:34;49;38;0.0;5;700;Off;1
00:01:35;00:01:35;49;38;0.0;5;700;Off;1
00:01:36;00:01:36;49;38;0.0;5;700;Off;1
00:01:37;00:01:37;49;38;0.0;5;700;Off;1
00:01:38;00:01:38;49;38;0.0;5;700;Off;1
00:01:39;00:01:39;50;38;0.0;5;700;Off;1
00:01:40;00:01:40;50;38;0.0;5;700;Off;1
00:01:41;00:01:41;50;38;0.0;5;700;Off;1
00:01:42;00:01:42;49;38;0.0;5;700;Off;1
00:01:43;00:01:43;50;38;0.0;5;700;Off;1
00:01:44;00:01:44;50;38;0.0;5;700;Off;1
00:01:45;00:01:45;50;38;0.0;5;700;Off;1
00:01:46;00:01:46;50;38;0.0;5;700;Off;1
00:01:47;00:01:47;50;38;0.0;5;700;Off;1
00:01:48;00:01:48;50;38;0.0;5;700;Off;1
00:01:49;00:01:49;50;38;0.0;5;700;Off;1
00:01:50;00:01:50;50;38;0.0;5;700;Off;1
00:01:51;00:01:51;50;38;0.0;5;700;Off;1
00:01:52;00:01:52;50;38;0.0;5;700;Off;1
00:01:53;00:01:53;51;38;0.0;5;700;Off;1
00:01:54;00:01:54;50;38;0.0;5;700;Off;1
00:01:55;00:01:55;50;38;0.0;5;700;Off;1
00:01:56;00:01:56;51;38;0.0;5;700;Off;1
00:01:57;00:01:57;51;38;0.0;5;700;Off;1
00:01:58;00:01:58;51;38;0.0;5;700;Off;1
00:01:59;00:01:59;51;38;0.0;5;700;Off;1
00:02:00;00:02:00;51;38;0.0;5;700;Off;1
00:02:01;00:02:01;51;38;0.0;5;700;Off;1
00:02:02;00:02:02;51;38;0.0;5;700;Off;1
00:02:03;00:02:03;51;38;0.0;5;700;Off;1
00:02:04;00:02:04;51;38;0.0;5;700;Off;1
00:02:05;00:02:05;51;38;0.0;5;700;Off;1
00:02:06;00:02:06;51;38;0.0;5;700;Off;1
00:02:07;00:02:07;51;38;0.0;5;700;Off;1
00:02:08;00:02:08;51;38;0.0;5;700;Off;1
00:02:09;00:02:09;52;38;0.0;5;700;Off;1
00:02:10;00:02:10;52;38;0.0;5;700;Off;1
00:02:11;00:02:11;51;38;0.0;5;700;Off;1
00:02:12;00:02:12;52;38;0.0;5;700;Off;1
00:02:13;00:02:13;52;38;0.0;5;700;Off;1
00:02:14;00:02:14;52;38;0.0;5;700;Off;1
00:02:15;00:02:15;52;38;0.0;5;700;Off;1
00:02:16;00:02:16;53;38;0.0;5;700;Off;1
00:02:17;00:02:17;52;38;0.0;5;700;Off;1
00:02:18;00:02:18;52;38;0.0;5;700;Off;1
00:02:19;00:02:19;52;38;0.0;5;700;Off;1
00:02:20;00:02:20;52;38;0.0;5;700;Off;1
00:02:21;00:02:21;53;38;0.0;5;700;Off;1
00:02:22;00:02:22;52;38;0.0;5;700;Off;1
00:02:23;00:02:23;52;38;0.0;5;700;Off;1
00:02:24;00:02:24;52;38;0.0;5;700;Off;1
00:02:25;00:02:25;53;38;0.0;5;700;Off;1
00:02:26;00:02:26;53;38;0.0;5;700;Off;1
00:02:27;00:02:27;53;38;0.0;5;700;Off;1
00:02:28;00:02:28;53;38;0.0;5;700;Off;1
00:02:29;00:02:29;52;38;0.0;5;700;Off;1
00:02:30;00:02:30;53;38;0.0;5;700;Off;1
00:02:31;00:02:31;53;38;0.0;5;700;Off;1
00:02:32;00:02:32;53;38;0.0;5;700;Off;1
00:02:33;00:02:33;53;38;0.0;5;700;Off;1
00:02:34;00:02:34;53;38;0.0;5;700;Off;1
00:02:35;00:02:35;53;38;0.0;5;700;Off;1
00:02:36;00:02:36;53;38;0.0;5;700;Off;1
00:02:37;00:02:37;53;38;0.0;5;700;Off;1
00:02:38;00:02:38;53;38;0.0;5;700;Off;1
00:02:39;00:02:39;54;38;0.0;5;700;Off;1
00:02:40;00:02:40;54;38;0.0;5;700;Off;1
00:02:41;00:02:41;54;38;0.0;5;700;Off;1
00:02:42;00:02:42;54;38;0.0;5;700;Off;1
00:02:43;00:02:43;53;38;0.0;5;700;Off;1
00:02:44;00:02:44;54;38;0.0;5;700;Off;1
00:02:45;00:02:45;54;38;0.0;5;700;Off;1
00:02:46;00:02:46;54;38;0.0;5;700;Off;1
00:02:47;00:02:47;54;38;0.0;5;700;Off;1
00:02:48;00:02:48;54;38;0.0;5;700;Off;1
00:02:49;00:02:49;54;38;0.0;5;700;Off;1
00:02:50;00:02:50;54;38;0.0;5;700;Off;1
00:02:51;00:02:51;54;38;0.0;5;700;Off;1
00:02:52;00:02:52;54;38;0.0;5;700;Off;1
00:02:53;00:02:53;54;38;0.0;5;700;Off;1
00:02:54;00:02:54;54;38;0.0;5;700;Off;1
00:02:55;00:02:55;54;38;0.0;5;700;Off;1
00:02:56;00:02:56;54;38;0.0;5;700;Off;1
00:02:57;00:02:57;54;38;0.0;5;700;Off;1
00:02:58;00:02:58;55;38;0.0;5;700;Off;1
00:02:59;00:02:59;55;38;0.0;5;700;Off;1
00:03:00;00:03:00;55;38;0.0;5;700;Off;1
00:03:01;00:03:01;55;38;0.0;5;700;Off;1
00:03:02;00:03:02;55;38;0.0;5;700;Off;1
00:03:03;00:03:03;55;38;0.0;5;700;Off;1
00:03:04;00:03:04;55;38;0.0;5;700;Off;1
00:03:05;00:03:05;55;38;0.0;5;700;Off;1
00:03:06;00:03:06;55;38;0.0;5;700;Off;1
00:03:07;00:03:07;55;38;0.0;5;700;Off;1
00:03:08;00:03:08;55;38;0.0;5;700;Off;1
00:03:09;00:03:09;55;38;0.0;5;700;Off;1
00:03:10;00:03:10;55;38;0.0;5;700;Off;1
00:03:11;00:03:11;55;38;0.0;5;700;Off;1
00:03:12;00:03:12;55;38;0.0;5;700;Off;1
00:03:13;00:03:13;55;38;0.0;5;700;Off;1
00:03:14;00:03:14;56;38;0.0;5;700;Off;1
00:03:15;00:03:15;55;38;0.0;5;700;Off;1
00:03:16;00:03:16;55;38;0.0;5;700;Off;1
00:03:17;00:03:17;55;38;0.0;5;700;Off;1
00:03:18;00:03:18;56;38;0.0;5;700;Off;1
00:03:19;00:03:19;56;38;0.0;5;700;Off;1
00:03:20;00:03:20;56;38;0.0;5;700;Off;1
00:03:21;00:03:21;56;38;0.0;5;700;Off;1
00:03:22;00:03:22;55;38;0.0;5;700;Off;1
00:03:23;00:03:23;56;38;0.0;5;700;Off;1
00:03:24;00:03:24;56;38;0.0;5;700;Off;1
00:03:25;00:03:25;56;38;0.0;5;700;Off;1
00:03:26;00:03:26;56;38;0.0;5;700;Off;1
00:03:27;00:03:27;56;38;0.0;5;700;Off;1
00:03:28;00:03:28;56;38;0.0;5;700;Off;1
00:03:29;00:03:29;55;38;0.0;5;700;Off;1
00:03:30;00:03:30;56;38;0.0;5;700;Off;1
00:03:31;00:03:31;56;38;0.0;5;700;Off;1
00:03:32;00:03:32;56;38;0.0;5;700;Off;1
00:03:33;00:03:33;56;38;0.0;5;700;Off;1
00:03:34;00:03:34;56;38;0.0;5;700;Off;1
00:03:35;00:03:35;56;38;0.0;5;700;Off;1
00:03:36;00:03:36;56;38;0.0;5;700;Off;1
00:03:37;00:03:37;56;38;0.0;5;700;Off;1
00:03:38;00:03:38;56;38;0.0;5;700;Off;1
00:03:39;00:03:39;56;38;0.0;5;700;Off;1
00:03:40;00:03:40;56;38;0.0;5;700;Off;1
00:03:41;00:03:41;56;38;0.0;5;700;Off;1
00:03:42;00:03:42;57;38;0.0;5;700;Off;1
00:03:43;00:03:43;56;38;0.0;5;700;Off;1
00:03:44;00:03:44;57;38;0.0;5;700;Off;1
00:03:45;00:03:45;57;38;0.0;5;700;Off;1
00:03:46;00:03:46;57;38;0.0;5;700;Off;1
00:03:47;00:03:47;57;38;0.0;5;700;Off;1
00:03:48;00:03:48;57;38;0.0;5;700;Off;1
00:03:49;00:03:49;57;38;0.0;5;700;Off;1
00:03:50;00:03:50;57;38;0.0;5;700;Off;1
00:03:51;00:03:51;57;38;0.0;5;700;Off;1
00:03:52;00:03:52;57;38;0.0;5;700;Off;1
00:03:53;00:03:53;57;38;0.0;5;700;Off;1
00:03:54;00:03:54;57;38;0.0;5;700;Off;1
00:03:55;00:03:55;57;38;0.0;5;700;Off;1
00:03:56;00:03:56;57;38;0.0;5;700;Off;1
00:03:57;00:03:57;57;38;0.0;5;700;Off;1
00:03:58;00:03:58;57;38;0.0;5;700;Off;1
00:03:59;00:03:59;57;38;0.0;5;700;Off;1
00:04:00;00:04:00;58;38;0.0;0;700;Off;1
00:04:01;00:00:00;57;38;0.0;0;700;Off;2
00:04:02;00:00:01;58;38;0.0;0;700;Off;2
00:04:03;00:00:02;58;38;0.0;0;700;Off;2
00:04:04;00:00:03;58;38;0.0;0;700;Off;2
00:04:05;00:00:04;58;38;0.0;0;700;Off;2
00:04:06;00:00:05;58;38;0.0;0;700;Off;2
00:04:07;00:00:06;58;38;0.0;0;700;Off;2
00:04:08;00:00:07;58;38;0.0;0;700;Off;2
00:04:09;00:00:08;58;38;0.0;0;700;Off;2
00:04:10;00:00:09;58;38;0.0;0;700;Off;2
00:04:11;00:00:10;58;38;0.0;0;700;Off;2
00:04:12;00:00:11;58;38;0.0;0;700;Off;2
00:04:13;00:00:12;58;38;0.0;0;700;Off;2
00:04:14;00:00:13;58;38;0.0;0;700;Off;2
00:04:15;00:00:14;58;38;0.0;0;700;Off;2
00:04:16;00:00:15;58;38;0.0;0;700;Off;2
00:04:17;00:00:16;58;38;0.0;0;700;Off;2
00:04:18;00:00:17;58;38;0.0;0;700;Off;2
00:04:19;00:00:18;58;38;0.0;0;700;Off;2
00:04:20;00:00:19;58;38;0.0;0;700;Off;2
00:04:21;00:00:20;58;38;0.0;0;700;Off;2
00:04:22;00:00:21;58;38;0.0;0;700;Off;2
00:04:23;00:00:22;58;38;0.0;0;700;Off;2
00:04:24;00:00:23;58;38;0.0;0;700;Off;2
00:04:25;00:00:24;58;38;0.0;0;700;Off;2
00:04:26;00:00:25;58;38;0.0;0;700;Off;2
00:04:27;00:00:26;58;38;0.0;0;700;Off;2
00:04:28;00:00:27;58;38;0.0;0;700;Off;2
00:04:29;00:00:28;58;38;0.0;0;700;Off;2
00:04:30;00:00:29;58;38;0.0;0;700;Off;2
00:04:31;00:00:30;58;38;0.0;0;700;Off;2
00:04:32;00:00:31;58;38;0.0;0;700;Off;2
00:04:33;00:00:32;58;38;0.0;0;700;Off;2
00:04:34;00:00:33;58;38;0.0;0;700;Off;2
00:04:35;00:00:34;58;38;0.0;0;700;Off;2
00:04:36;00:00:35;58;38;0.0;0;700;Off;2
00:04:37;00:00:36;58;38;0.0;0;700;Off;2
00:04:38;00:00:37;58;38;0.0;0;700;Off;2
00:04:39;00:00:38;58;38;0.0;0;700;Off;2
00:04:40;00:00:39;58;38;0.0;0;700;Off;2
00:04:41;00:00:40;58;38;0.0;0;700;Off;2
00:04:42;00:00:41;58;38;0.0;0;700;Off;2
00:04:43;00:00:42;58;38;0.0;0;700;Off;2
00:04:44;00:00:43;58;38;0.0;0;700;Off;2
00:04:45;00:00:44;58;38;0.0;0;700;Off;2
00:04:46;00:00:45;58;38;0.0;0;700;Off;2
00:04:47;00:00:46;58;38;0.0;0;700;Off;2
00:04:48;00:00:47;58;38;0.0;0;700;Off;2
00:04:49;00:00:48;58;38;0.0;0;700;Off;2
00:04:50;00:00:49;57;38;0.0;0;700;Off;2
00:04:51;00:00:50;58;38;0.0;0;700;Off;2
00:04:52;00:00:51;58;38;0.0;0;700;Off;2
00:04:53;00:00:52;58;38;0.0;0;700;Off;2
00:04:54;00:00:53;57;38;0.0;0;700;Off;2
00:04:55;00:00:54;57;38;0.0;0;700;Off;2
00:04:56;00:00:55;57;38;0.0;0;700;Off;2
00:04:57;00:00:56;58;38;0.0;0;700;Off;2
00:04:58;00:00:57;57;38;0.0;0;700;Off;2
00:04:59;00:00:58;58;38;0.0;0;700;Off;2
00:05:00;00:00:59;57;38;0.0;0;700;Off;2
00:05:01;00:01:00;57;38;0.0;0;700;Off;2
00:05:02;00:01:01;57;38;0.0;0;700;Off;2
00:05:03;00:01:02;58;38;0.0;0;700;Off;2
00:05:04;00:01:03;57;38;0.0;0;700;Off;2
00:05:05;00:01:04;57;38;0.0;0;700;Off;2
00:05:06;00:01:05;57;38;0.0;0;700;Off;2
00:05:07;00:01:06;57;38;0.0;0;700;Off;2
00:05:08;00:01:07;57;38;0.0;0;700;Off;2
00:05:09;00:01:08;57;38;0.0;0;700;Off;2
00:05:10;00:01:09;57;38;0.0;0;700;Off;2
00:05:11;00:01:10;57;38;0.0;0;700;Off;2
00:05:12;00:01:11;57;38;0.0;0;700;Off;2
00:05:13;00:01:12;57;38;0.0;0;700;Off;2
00:05:14;00:01:13;57;38;0.0;0;700;Off;2
00:05:15;00:01:14;57;38;0.0;0;700;Off;2
00:05:16;00:01:15;57;38;0.0;0;700;Off;2
00:05:17;00:01:16;57;38;0.0;0;700;Off;2
00:05:18;00:01:17;57;38;0.0;0;700;Off;2
00:05:19;00:01:18;57;38;0.0;0;700;Off;2
00:05:20;00:01:19;57;38;0.0;0;700;Off;2
00:05:21;00:01:20;57;38;0.0;0;700;Off;2
00:05:22;00:01:21;57;38;0.0;0;700;Off;2
00:05:23;00:01:22;57;38;0.0;0;700;Off;2
00:05:24;00:01:23;57;38;0.0;0;700;Off;2
00:05:25;00:01:24;57;38;0.0;1;700;Off;2
00:05:26;00:01:25;56;38;0.0;1;700;Off;2
00:05:27;00:01:26;56;38;0.0;1;700;Off;2
00:05:28;00:01:27;57;38;0.0;1;700;Off;2
00:05:29;00:01:28;56;38;0.0;1;700;Off;2
00:05:30;00:01:29;57;38;0.0;1;700;Off;2
00:05:31;00:01:30;57;38;0.0;1;700;Off;2
00:05:32;00:01:31;57;38;0.0;2;700;Off;2
00:05:33;00:01:32;57;38;0.0;2;700;Off;2
00:05:34;00:01:33;57;38;0.0;2;700;Off;2
00:05:35;00:01:34;56;38;0.0;3;700;Off;2
00:05:36;00:01:35;56;38;0.0;3;700;Off;2
00:05:37;00:01:36;57;38;0.0;3;700;Off;2
00:05:38;00:01:37;57;38;0.0;3;700;Off;2
00:05:39;00:01:38;57;38;0.0;2;700;Off;2
00:05:40;00:01:39;57;38;0.0;4;700;Off;2
00:05:41;00:01:40;56;38;0.0;4;700;Off;2
00:05:42;00:01:41;56;38;0.0;4;700;Off;2
00:05:43;00:01:42;56;38;0.0;5;700;Off;2
00:05:44;00:01:43;56;38;0.0;4;700;Off;2
00:05:45;00:01:44;57;38;0.0;5;700;Off;2
00:05:46;00:01:45;56;38;0.0;5;700;Off;2
00:05:47;00:01:46;56;38;0.0;6;700;Off;2
00:05:48;00:01:47;57;38;0.0;6;700;Off;2
00:05:49;00:01:48;56;38;0.0;6;700;Off;2
00:05:50;00:01:49;56;38;0.0;6;700;Off;2
00:05:51;00:01:50;56;38;0.0;6;700;Off;2
00:05:52;00:01:51;56;38;0.0;5;700;Off;2
00:05:53;00:01:52;56;38;0.0;6;700;Off;2
00:05:54;00:01:53;57;38;0.0;5;700;Off;2
00:05:55;00:01:54;57;38;0.0;7;700;Off;2
00:05:56;00:01:55;57;38;0.0;7;700;Off;2
00:05:57;00:01:56;57;38;0.0;6;700;Off;2
00:05:58;00:01:57;57;38;0.0;6;700;Off;2
00:05:59;00:01:58;57;38;0.0;5;700;Off;2
00:06:00;00:01:59;57;38;0.0;5;700;Off;2
00:06:01;00:02:00;57;38;0.0;4;700;Off;2
00:06:02;00:02:01;57;38;0.0;5;700;Off;2
00:06:03;00:02:02;57;38;0.0;5;700;Off;2
00:06:04;00:02:03;57;38;0.0;5;700;Off;2
00:06:05;00:02:04;57;38;0.0;3;700;Off;2
00:06:06;00:02:05;57;38;0.0;4;700;Off;2
00:06:07;00:02:06;57;38;0.0;3;700;Off;2
00:06:08;00:02:07;57;38;0.0;3;700;Off;2
00:06:09;00:02:08;57;38;0.0;3;700;Off;2
00:06:10;00:02:09;57;38;0.0;3;700;Off;2
00:06:11;00:02:10;57;38;0.0;2;700;Off;2
00:06:12;00:02:11;57;38;0.0;2;700;Off;2
00:06:13;00:02:12;58;38;0.0;2;700;Off;2
00:06:14;00:02:13;57;38;0.0;2;700;Off;2
00:06:15;00:02:14;58;38;0.0;1;700;Off;2
00:06:16;00:02:15;58;38;0.0;1;700;Off;2
00:06:17;00:02:16;58;38;0.0;1;700;Off;2
00:06:18;00:02:17;58;38;0.0;0;700;Off;2
00:06:19;00:02:18;58;38;0.0;0;700;Off;2
00:06:20;00:02:19;57;38;0.0;0;700;Off;2
00:06:21;00:02:20;58;38;0.0;0;700;Off;2
00:06:22;00:02:21;58;38;0.0;0;700;Off;2
00:06:23;00:02:22;58;38;0.0;0;700;Off;2
00:06:24;00:02:23;58;38;0.0;0;700;Off;2
00:06:25;00:02:24;58;38;0.0;0;700;Off;2
00:06:26;00:02:25;57;38;0.0;0;700;Off;2
00:06:27;00:02:26;57;38;0.0;0;700;Off;2
00:06:28;00:02:27;57;38;0.0;0;700;Off;2
00:06:29;00:02:28;58;38;0.0;0;700;Off;2
00:06:30;00:02:29;57;38;0.0;0;700;Off;2
00:06:31;00:02:30;58;38;0.0;0;700;Off;2
00:06:32;00:02:31;57;38;0.0;0;700;Off;2
00:06:33;00:02:32;57;38;0.0;0;700;Off;2
00:06:34;00:02:33;57;38;0.0;0;700;Off;2
00:06:35;00:02:34;57;38;0.0;0;700;Off;2
00:06:36;00:02:35;57;38;0.0;0;700;Off;2
00:06:37;00:02:36;57;38;0.0;0;700;Off;2
00:06:38;00:02:37;57;38;0.0;0;700;Off;2
00:06:39;00:02:38;57;38;0.0;0;700;Off;2
00:06:40;00:02:39;57;38;0.0;0;700;Off;2
00:06:41;00:02:40;57;38;0.0;0;700;Off;2
00:06:42;00:02:41;58;38;0.0;0;700;Off;2
00:06:43;00:02:42;57;38;0.0;0;700;Off;2
00:06:44;00:02:43;57;38;0.0;0;700;Off;2
00:06:45;00:02:44;57;38;0.0;0;700;Off;2
00:06:46;00:02:45;57;38;0.0;0;700;Off;2
00:06:47;00:02:46;57;38;0.0;0;700;Off;2
00:06:48;00:02:47;57;38;0.0;0;700;Off;2
00:06:49;00:02:48;57;38;0.0;0;700;Off;2
00:06:50;00:02:49;57;38;0.0;0;700;Off;2
00:06:51;00:02:50;57;38;0.0;0;700;Off;2
00:06:52;00:02:51;57;38;0.0;0;700;Off;2
00:06:53;00:02:52;57;38;0.0;0;700;Off;2
00:06:54;00:02:53;57;38;0.0;0;700;Off;2
00:06:55;00:02:54;57;38;0.0;0;700;Off;2
00:06:56;00:02:55;57;38;0.0;0;700;Off;2
00:06:57;00:02:56;57;38;0.0;1;700;Off;2
00:06:58;00:02:57;57;38;0.0;1;700;Off;2
00:06:59;00:02:58;57;38;0.0;1;700;Off;2
00:07:00;00:02:59;57;38;0.0;1;700;Off;2
00:07:01;00:03:00;57;38;0.0;1;700;Off;2
00:07:02;00:03:01;57;38;0.0;2;700;Off;2
00:07:03;00:03:02;57;38;0.0;2;700;Off;2
00:07:04;00:03:03;56;38;0.0;2;700;Off;2
00:07:05;00:03:04;56;38;0.0;2;700;Off;2
00:07:06;00:03:05;56;38;0.0;2;700;Off;2
00:07:07;00:03:06;56;38;0.0;3;700;Off;2
00:07:08;00:03:07;57;38;0.0;3;700;Off;2
00:07:09;00:03:08;57;38;0.0;3;700;Off;2
00:07:10;00:03:09;56;38;0.0;4;700;Off;2
00:07:11;00:03:10;56;38;0.0;3;700;Off;2
00:07:12;00:03:11;56;38;0.0;4;700;Off;2
00:07:13;00:03:12;56;38;0.0;4;700;Off;2
00:07:14;00:03:13;56;38;0.0;4;700;Off;2
00:07:15;00:03:14;56;38;0.0;4;700;Off;2
00:07:16;00:03:15;56;38;0.0;5;700;Off;2
00:07:17;00:03:16;56;38;0.0;6;700;Off;2
00:07:18;00:03:17;56;38;0.0;6;700;Off;2
00:07:19;00:03:18;56;38;0.0;6;700;Off;2
00:07:20;00:03:19;57;38;0.0;6;700;Off;2
00:07:21;00:03:20;56;38;0.0;6;700;Off;2
00:07:22;00:03:21;56;38;0.0;6;700;Off;2
00:07:23;00:03:22;56;38;0.0;5;700;Off;2
00:07:24;00:03:23;56;38;0.0;6;700;Off;2
00:07:25;00:03:24;57;38;0.0;5;700;Off;2
00:07:26;00:03:25;56;38;0.0;6;700;Off;2
00:07:27;00:03:26;56;38;0.0;5;700;Off;2
00:07:28;00:03:27;56;38;0.0;7;700;Off;2
00:07:29;00:03:28;57;38;0.0;5;700;Off;2
00:07:30;00:03:29;57;38;0.0;5;700;Off;2
00:07:31;00:03:30;57;38;0.0;6;700;Off;2
00:07:32;00:03:31;57;38;0.0;6;700;Off;2
00:07:33;00:03:32;57;38;0.0;5;700;Off;2
00:07:34;00:03:33;57;38;0.0;6;700;Off;2
00:07:35;00:03:34;58;38;0.0;4;700;Off;2
00:07:36;00:03:35;57;38;0.0;4;700;Off;2
00:07:37;00:03:36;57;38;0.0;4;700;Off;2
00:07:38;00:03:37;57;38;0.0;4;700;Off;2
